"","HS.Dropout.rate","HS.grad.rate","Some.College.rate","Associates.rate","Bachelors.rate","Grad.Prof.rate","X..10k.rate","X10.15k.rate","X15.25k.rate","X25.35k.rate","X35.50k.rate","X50.75k.rate","X75.100k.rate","X100.150k.rate","X150.200k.rate","X.200k.rate"
"Anoka County",0.229885057471264,0.46692607003891,0.504065040650406,0.392857142857143,0.508130081300813,0.341176470588235,0.0845070422535211,0.08,0.182692307692308,0.183908045977012,0.270676691729323,0.356164383561644,0.782608695652174,0.715116279069767,0.718446601941747,0.375
"Becker County",0.344827586206897,0.525291828793774,0.601626016260162,0.464285714285714,0.357723577235772,0.282352941176471,0.507042253521127,0.426666666666667,0.432692307692308,0.551724137931034,0.503759398496241,0.534246575342466,0.521739130434783,0.302325581395349,0.155339805825243,0.279761904761905
"Beltrami County",0.425287356321839,0.463035019455253,0.455284552845528,0.321428571428571,0.382113821138211,0.494117647058824,0.732394366197183,0.706666666666667,0.682692307692308,0.71264367816092,0.56390977443609,0.458904109589041,0.282608695652174,0.13953488372093,0.155339805825243,0.130952380952381
"Benton County",0.540229885057471,0.525291828793774,0.601626016260162,0.535714285714286,0.317073170731707,0.188235294117647,0.436619718309859,0.226666666666667,0.288461538461538,0.632183908045977,0.744360902255639,0.410958904109589,0.75,0.319767441860465,0.310679611650485,0.113095238095238
"Big Stone County",0.195402298850575,1,0.219512195121951,0.401785714285714,0.109756097560976,0.2,0.450704225352113,0.693333333333333,0.865384615384616,0.482758620689655,0.330827067669173,0.458904109589041,0.554347826086957,0.38953488372093,0.058252427184466,0.0892857142857143
"Blue Earth County",0.160919540229885,0.443579766536965,0.268292682926829,0.375,0.565040650406504,0.505882352941176,0.408450704225352,0.346666666666667,0.615384615384615,0.597701149425287,0.443609022556391,0.445205479452055,0.619565217391305,0.38953488372093,0.242718446601942,0.136904761904762
"Brown County",0.298850574712644,0.77431906614786,0.544715447154472,0.223214285714286,0.300813008130081,0.182352941176471,0.0985915492957746,0.306666666666667,0.615384615384615,0.620689655172414,0.578947368421053,0.602739726027397,0.619565217391305,0.482558139534884,0.0388349514563107,0.0535714285714286
"Carlton County",0.252873563218391,0.622568093385214,0.813008130081301,0.401785714285714,0.260162601626016,0.235294117647059,0.267605633802817,0.253333333333333,0.403846153846154,0.505747126436782,0.353383458646617,0.657534246575343,0.521739130434783,0.552325581395349,0.320388349514563,0.136904761904762
"Carver County",0,0.0583657587548637,0.121951219512195,0.276785714285714,1,0.729411764705882,0.126760563380282,0.0933333333333334,0.0192307692307692,0,0,0.150684931506849,0.467391304347826,0.674418604651163,0.980582524271845,1
"Cass County",0.367816091954023,0.638132295719844,0.682926829268293,0.214285714285714,0.361788617886179,0.235294117647059,0.563380281690141,0.426666666666667,0.557692307692308,0.597701149425287,0.684210526315789,0.52054794520548,0.271739130434783,0.348837209302326,0.135922330097087,0.113095238095238
