"","X.rowMeans.cleanedCensusData...3.7.....cleanedCensusData...2...6","X.rowMeans.cleanedCensusData...11.17....rowMeans.cleanedCensusData..."
"Anoka County",0.772811918063315,0.857366771159874
"Becker County",0.657355679702048,0.439602925809823
"Beltrami County",0.577281191806332,0.115778474399164
"Benton County",0.465549348230912,0.598014629049112
"Big Stone County",0.76536312849162,0.131870428422152
"Blue Earth County",0.837988826815642,0.398850574712643
"Brown County",0.692737430167597,0.515987460815047
"Carlton County",0.754189944134078,0.592058516196447
"Carver County",1,0.937095088819227
"Cass County",0.646182495344506,0.344827586206896
"Chippewa County",0.528864059590316,0.33448275862069
"Chisago County",0.821229050279329,0.781922675026123
"Watonwan County",0.381750465549348,0.122466039707419
"Wadena County",0.513966480446927,0.164158829676071
"Clay County",0.867783985102421,0.370741901776385
"Clearwater County",0.0446927374301678,0.0661442006269591
"Cook County",0.945996275605214,0.506792058516196
"Cottonwood County",0.567970204841713,0.262591431556949
"Crow Wing County",0.711359404096834,0.36969696969697
"Dakota County",0.871508379888268,0.835005224660397
"Dodge County",0.707635009310987,0.903761755485893
"Douglas County",0.880819366852886,0.479310344827586
"Faribault County",0.690875232774674,0.266980146290491
"Fillmore County",0.657355679702048,0.540752351097179
"Goodhue County",0.597765363128492,0.578996865203762
"Grant County",0.592178770949721,0.488087774294671
"Houston County",0.837988826815642,0.503866248693835
"Hubbard County",0.653631284916201,0.355381400208986
"Itasca County",0.707635009310987,0.218808777429467
"Kanabec County",0.387337057728119,0.483385579937304
"Kandiyohi County",0.636871508379888,0.398537095088819
"Koochiching County",0.66852886405959,0.327899686520376
"Lac qui Parle County",0.692737430167598,0.332810867293626
"Lake of the Woods County",0.932960893854749,0.140752351097179
"Le Sueur County",0.78584729981378,0.68380355276907
"Lyon County",0.731843575418994,0.33239289446186
"McLeod County",0.690875232774674,0.512434691745037
"Marshall County",0.452513966480447,0.440961337513062
"Martin County",0.782122905027933,0.294670846394984
"Mille Lacs County",0.381750465549348,0.288401253918495
"Morrison County",0.547486033519553,0.300835945663532
"Murray County",0.528864059590316,0.351619644723093
"Nicollet County",0.774674115456238,0.555485893416928
"Norman County",0.716945996275605,0.34367816091954
"Olmsted County",0.871508379888268,0.709299895506792
"Pennington County",0.772811918063315,0.431870428422152
"Pine County",0.443202979515828,0.23312434691745
"Polk County",0.726256983240223,0.178474399164055
"Pope County",0.735567970204842,0.407523510971787
"Red Lake County",0.752327746741155,0.28944618599791
"Redwood County",0.674115456238361,0.308986415882967
"Rice County",0.581005586592179,0.570637408568443
"Rock County",0.752327746741155,0.34858934169279
"St. Louis County",0.759776536312849,0.256426332288402
"Scott County",0.908752327746741,1
"Sibley County",0.707635009310987,0.575130616509927
"Stearns County",0.720670391061452,0.469278996865204
"Stevens County",0.886405959031657,0.369801462904911
"Swift County",0.612662942271881,0.180041797283177
"Traverse County",0.817504655493482,0.285475444096134
"Wabasha County",0.78584729981378,0.524033437826541
"Waseca County",0.772811918063315,0.362486938349007
"Washington County",0.936685288640596,0.942737722048067
"Wilkin County",0.772811918063315,0.436050156739812
"Winona County",0.731843575418994,0.363427377220481
"Wright County",0.711359404096834,0.847753396029258
"Yellow Medicine County",0.569832402234637,0.424764890282132
"Aitkin County",0.547486033519553,0.158829676071055
"Freeborn County",0.364990689013035,0.34012539184953
"Hennepin County",0.8268156424581,0.634169278996865
"Isanti County",0.495344506517691,0.730721003134796
"Jackson County",0.698324022346369,0.623092998955068
"Kittson County",0.988826815642458,0.482340647857889
"Lake County",0.789571694599628,0.495193312434692
"Lincoln County",0.601489757914339,0.163740856844305
"Mahnomen County",0,0
"Meeker County",0.713221601489758,0.50073145245559
"Mower County",0.446927374301676,0.25496342737722
"Nobles County",0.202979515828678,0.328422152560084
"Otter Tail County",0.640595903165735,0.374503657262278
"Pipestone County",0.523277467411545,0.286415882967607
"Ramsey County",0.705772811918063,0.508045977011494
"Renville County",0.461824953445065,0.343782654127482
"Roseau County",0.536312849162011,0.556217345872518
"Sherburne County",0.722532588454376,0.891745036572622
"Steele County",0.612662942271881,0.588610240334378
"Todd County",0.405959031657356,0.306060606060606
