NAME,REGION,DP02_0061PE,DP02_0062PE,DP02_0063PE,DP02_0064PE,DP02_0065PE,DP02_0066PE,DP03_0052PE,DP03_0053PE,DP03_0054PE,DP03_0055PE,DP03_0056PE,DP03_0057PE,DP03_0058PE,DP03_0059PE,DP03_0060PE,DP03_0061PE,state,county
Anoka County, Minnesota,None,3.9,27.9,23.0,12.9,21.6,8.8,2.3,2.0,5.2,6.2,10.9,16.9,16.9,21.8,10.2,7.6,27,003
Becker County, Minnesota,None,4.9,29.4,24.2,13.7,17.9,7.8,5.3,4.6,7.8,9.4,14.0,19.5,14.5,14.7,4.4,6.0,27,005
Beltrami County, Minnesota,None,5.6,27.8,22.4,12.1,18.5,11.4,6.9,6.7,10.4,10.8,14.8,18.4,12.3,11.9,4.4,3.5,27,007
Benton County, Minnesota,None,6.6,29.4,24.2,14.5,16.9,6.2,4.8,3.1,6.3,10.1,17.2,17.7,16.6,15.0,6.0,3.2,27,009
Big Stone County, Minnesota,None,3.6,41.6,19.5,13.0,11.8,6.4,4.9,6.6,12.3,8.8,11.7,18.4,14.8,16.2,3.4,2.8,27,011
Blue Earth County, Minnesota,None,3.3,27.3,20.1,12.7,23.0,11.6,4.6,4.0,9.7,9.8,13.2,18.2,15.4,16.2,5.3,3.6,27,013
Brown County, Minnesota,None,4.5,35.8,23.5,11.0,16.5,6.1,2.4,3.7,9.7,10.0,15.0,20.5,15.4,17.8,3.2,2.2,27,015
Carlton County, Minnesota,None,4.1,31.9,26.8,13.0,15.5,7.0,3.6,3.3,7.5,9.0,12.0,21.3,14.5,19.0,6.1,3.6,27,017
Carver County, Minnesota,None,1.9,17.4,18.3,11.6,33.7,15.4,2.6,2.1,3.5,4.6,7.3,13.9,14.0,21.1,12.9,18.1,27,019
Cass County, Minnesota,None,5.1,32.3,25.2,10.9,18.0,7.0,5.7,4.6,9.1,9.8,16.4,19.3,12.2,15.5,4.2,3.2,27,021
Chippewa County, Minnesota,None,5.5,32.6,21.8,15.0,15.0,4.7,4.8,4.1,10.7,9.3,14.2,21.4,13.4,14.9,4.3,2.8,27,023
Chisago County, Minnesota,None,3.6,33.1,24.9,15.1,16.3,5.9,2.8,2.9,5.5,5.1,10.2,14.9,17.1,26.7,8.5,6.3,27,025
Watonwan County, Minnesota,None,6.1,37.4,19.6,9.6,13.0,4.6,4.9,7.1,11.7,11.9,11.6,19.3,9.7,17.1,4.5,2.3,27,165
Wadena County, Minnesota,None,6.1,35.2,25.1,14.2,13.2,3.6,5.6,6.3,11.0,11.0,20.6,18.1,12.0,10.7,3.3,1.4,27,159
Clay County, Minnesota,None,3.1,23.0,22.8,15.3,24.2,10.0,4.9,5.0,9.3,7.6,11.6,17.9,14.5,19.0,6.2,4.0,27,027
