"","Age","WorkClass","Education","MaritalStatus","Occupation","RelationshipToFamily","Race","Sex","Hours-Per-Week","Label"
"24792",74," Self-emp-not-inc"," Some-college"," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",35," <=50K"
"25728",18," Private"," 11th"," Never-married"," Sales"," Own-child"," White"," Male",16," <=50K"
"2766",34," Private"," Some-college"," Divorced"," Adm-clerical"," Unmarried"," White"," Female",30," <=50K"
"8461",29," Private"," Bachelors"," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",40," <=50K"
"6605",41," Private"," HS-grad"," Never-married"," Other-service"," Not-in-family"," White"," Male",6," <=50K"
"30239",27," Private"," Assoc-voc"," Never-married"," Tech-support"," Other-relative"," White"," Female",36," <=50K"
"19859",52," Private"," 11th"," Married-civ-spouse"," Other-service"," Husband"," White"," Male",40," <=50K"
"23752",32," Private"," HS-grad"," Never-married"," Machine-op-inspct"," Not-in-family"," White"," Female",40," <=50K"
"174",27," Private"," Bachelors"," Never-married"," Craft-repair"," Not-in-family"," White"," Male",50," <=50K"
"22366",20," Private"," 9th"," Never-married"," Transport-moving"," Not-in-family"," White"," Male",50," <=50K"
"17750",24," Private"," 12th"," Never-married"," Machine-op-inspct"," Unmarried"," White"," Male",40," <=50K"
"29741",50," Self-emp-not-inc"," Some-college"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",55," <=50K"
"10074",62," Private"," 7th-8th"," Divorced"," Handlers-cleaners"," Not-in-family"," White"," Male",40," <=50K"
"26701",26," Self-emp-not-inc"," HS-grad"," Never-married"," Craft-repair"," Own-child"," White"," Male",50," <=50K"
"29495",39," State-gov"," Assoc-voc"," Never-married"," Exec-managerial"," Unmarried"," White"," Female",50," <=50K"
"2855",27," Private"," Some-college"," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",40," <=50K"
"7189",20," Private"," Some-college"," Never-married"," Sales"," Own-child"," White"," Female",30," <=50K"
"24456",26," Private"," Assoc-acdm"," Separated"," Craft-repair"," Not-in-family"," Other"," Female",40," <=50K"
"6491",51," Private"," HS-grad"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," <=50K"
"6002",44," Private"," 10th"," Divorced"," Adm-clerical"," Unmarried"," Other"," Female",42," <=50K"
"16161",62," Federal-gov"," HS-grad"," Widowed"," Adm-clerical"," Unmarried"," White"," Female",40," <=50K"
"30536",29," Private"," Masters"," Married-civ-spouse"," Sales"," Husband"," White"," Male",20," <=50K"
"30849",17," Private"," 11th"," Never-married"," Craft-repair"," Own-child"," White"," Male",40," <=50K"
"17165",22," Private"," Assoc-voc"," Never-married"," Craft-repair"," Not-in-family"," White"," Male",44," <=50K"
"1039",34," Private"," HS-grad"," Divorced"," Priv-house-serv"," Unmarried"," Black"," Female",30," <=50K"
"13975",36," Local-gov"," Bachelors"," Married-civ-spouse"," Prof-specialty"," Own-child"," White"," Male",40," <=50K"
"23758",27," Private"," Some-college"," Never-married"," Craft-repair"," Not-in-family"," White"," Male",45," <=50K"
"8653",44," Private"," Bachelors"," Divorced"," Adm-clerical"," Unmarried"," White"," Female",32," <=50K"
"3615",23," Private"," Assoc-voc"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," <=50K"
"24450",27," Private"," Bachelors"," Never-married"," Exec-managerial"," Own-child"," White"," Female",40," <=50K"
"13342",61," Private"," HS-grad"," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",40," <=50K"
"22940",50," State-gov"," HS-grad"," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",40," <=50K"
"14562",53," Private"," HS-grad"," Never-married"," Farming-fishing"," Not-in-family"," White"," Male",10," <=50K"
"6583",35," Self-emp-not-inc"," Some-college"," Married-civ-spouse"," Craft-repair"," Husband"," Amer-Indian-Eskimo"," Male",60," <=50K"
"25411",45," Local-gov"," 11th"," Married-civ-spouse"," Other-service"," Wife"," White"," Female",25," <=50K"
"11634",18," Private"," Some-college"," Never-married"," Other-service"," Own-child"," White"," Female",15," <=50K"
"976",25," Private"," Some-college"," Never-married"," Sales"," Not-in-family"," White"," Female",40," <=50K"
"609",36," Local-gov"," HS-grad"," Separated"," Exec-managerial"," Not-in-family"," Black"," Male",40," <=50K"
"24898",35," Self-emp-not-inc"," HS-grad"," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",60," <=50K"
"2103",30," Private"," HS-grad"," Divorced"," Craft-repair"," Unmarried"," White"," Female",40," <=50K"
"9966",29," Private"," Some-college"," Married-civ-spouse"," Other-service"," Wife"," Amer-Indian-Eskimo"," Female",40," <=50K"
"4536",48," Private"," 10th"," Married-civ-spouse"," Sales"," Husband"," White"," Male",70," <=50K"
"3743",30," Private"," Some-college"," Divorced"," Transport-moving"," Not-in-family"," White"," Male",40," <=50K"
"8325",25," Private"," HS-grad"," Never-married"," Transport-moving"," Unmarried"," White"," Male",52," <=50K"
"12613",29," Self-emp-not-inc"," HS-grad"," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",40," <=50K"
"6831",48," Private"," HS-grad"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",45," <=50K"
"2956",53," Private"," Some-college"," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",40," <=50K"
"16635",62," Self-emp-not-inc"," HS-grad"," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",65," <=50K"
"6693",19," Private"," HS-grad"," Never-married"," Adm-clerical"," Own-child"," White"," Female",14," <=50K"
"3311",36," Private"," Some-college"," Never-married"," Sales"," Not-in-family"," White"," Female",35," <=50K"
"15139",48," Private"," HS-grad"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," <=50K"
"24954",30," Self-emp-not-inc"," Some-college"," Never-married"," Sales"," Own-child"," White"," Male",25," <=50K"
"19051",34," Private"," Bachelors"," Never-married"," Exec-managerial"," Not-in-family"," White"," Female",40," <=50K"
"5778",26," Private"," Some-college"," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",40," <=50K"
"19427",31," Private"," Bachelors"," Married-spouse-absent"," Adm-clerical"," Not-in-family"," White"," Female",40," <=50K"
"411",41," Local-gov"," Some-college"," Divorced"," Other-service"," Not-in-family"," Black"," Female",24," <=50K"
"13635",45," Private"," 12th"," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",50," <=50K"
"4815",30," Private"," HS-grad"," Never-married"," Adm-clerical"," Own-child"," White"," Female",40," <=50K"
"663",27," Private"," Some-college"," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",40," <=50K"
"27271",40," Private"," HS-grad"," Separated"," Machine-op-inspct"," Not-in-family"," White"," Female",40," <=50K"
"28696",51," Self-emp-inc"," Assoc-acdm"," Married-civ-spouse"," Sales"," Husband"," White"," Male",60," <=50K"
"32477",35," Private"," 12th"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",84," <=50K"
"32164",36," State-gov"," Bachelors"," Married-civ-spouse"," Sales"," Husband"," White"," Male",40," <=50K"
"23700",34," Private"," HS-grad"," Separated"," Sales"," Unmarried"," Black"," Female",20," <=50K"
"3273",30," Private"," 10th"," Never-married"," Craft-repair"," Not-in-family"," White"," Male",50," <=50K"
"7020",47," State-gov"," Assoc-acdm"," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",40," <=50K"
"15771",43," Private"," HS-grad"," Divorced"," Exec-managerial"," Not-in-family"," White"," Female",40," <=50K"
"22561",21," Private"," Some-college"," Never-married"," Sales"," Own-child"," White"," Male",24," <=50K"
"24694",22," Private"," 9th"," Never-married"," Handlers-cleaners"," Own-child"," Asian-Pac-Islander"," Male",40," <=50K"
"2120",39," Private"," HS-grad"," Never-married"," Craft-repair"," Own-child"," White"," Male",40," <=50K"
"18442",23," Private"," HS-grad"," Divorced"," Craft-repair"," Not-in-family"," White"," Male",40," <=50K"
"31575",21," Private"," Some-college"," Never-married"," Tech-support"," Own-child"," White"," Female",9," <=50K"
"30407",28," Private"," 11th"," Divorced"," Other-service"," Unmarried"," White"," Female",40," <=50K"
"19056",57," Private"," HS-grad"," Widowed"," Other-service"," Unmarried"," White"," Female",30," <=50K"
"5821",37," Self-emp-not-inc"," Some-college"," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",60," <=50K"
"12959",36," Private"," HS-grad"," Separated"," Other-service"," Unmarried"," Black"," Female",28," <=50K"
"2212",27," Private"," HS-grad"," Never-married"," Other-service"," Not-in-family"," White"," Female",42," <=50K"
"26706",21," Private"," Assoc-voc"," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",12," <=50K"
"10982",24," Private"," HS-grad"," Married-civ-spouse"," Other-service"," Wife"," White"," Female",25," <=50K"
"32398",41," Private"," HS-grad"," Separated"," Adm-clerical"," Unmarried"," White"," Female",40," <=50K"
"2225",31," Private"," 11th"," Never-married"," Transport-moving"," Unmarried"," White"," Male",40," <=50K"
"17604",42," Local-gov"," HS-grad"," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",8," <=50K"
"31309",43," Private"," Some-college"," Divorced"," Adm-clerical"," Unmarried"," Black"," Female",35," <=50K"
"8975",30," Private"," HS-grad"," Divorced"," Adm-clerical"," Unmarried"," White"," Female",35," <=50K"
"4535",20," Private"," HS-grad"," Never-married"," Handlers-cleaners"," Own-child"," White"," Female",40," <=50K"
"13155",46," Private"," HS-grad"," Married-civ-spouse"," Handlers-cleaners"," Husband"," Black"," Male",40," <=50K"
"29390",30," Private"," HS-grad"," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",40," <=50K"
"13993",31," Private"," Some-college"," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",40," <=50K"
"8681",25," Private"," Bachelors"," Never-married"," Craft-repair"," Own-child"," White"," Male",35," <=50K"
"21568",39," Local-gov"," Assoc-acdm"," Divorced"," Other-service"," Unmarried"," White"," Female",55," <=50K"
"22481",17," Private"," 9th"," Never-married"," Craft-repair"," Own-child"," White"," Male",40," <=50K"
"23451",45," Private"," Some-college"," Divorced"," Adm-clerical"," Unmarried"," White"," Female",48," <=50K"
"10676",33," Private"," HS-grad"," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",40," <=50K"
"31346",21," Private"," Some-college"," Never-married"," Craft-repair"," Own-child"," White"," Male",40," <=50K"
"22784",50," Self-emp-inc"," Masters"," Never-married"," Prof-specialty"," Not-in-family"," Black"," Male",50," <=50K"
"278",35," Private"," Some-college"," Never-married"," Exec-managerial"," Not-in-family"," White"," Female",40," <=50K"
"13951",65," Local-gov"," Some-college"," Never-married"," Prof-specialty"," Not-in-family"," Black"," Female",40," <=50K"
"27",19," Private"," HS-grad"," Never-married"," Craft-repair"," Own-child"," White"," Male",40," <=50K"
"1986",29," Private"," HS-grad"," Never-married"," Machine-op-inspct"," Not-in-family"," White"," Male",48," <=50K"
"29599",25," Private"," HS-grad"," Never-married"," Adm-clerical"," Not-in-family"," White"," Male",40," <=50K"
"5943",26," Private"," 10th"," Never-married"," Handlers-cleaners"," Not-in-family"," White"," Male",40," <=50K"
"8057",32," Private"," 9th"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",40," <=50K"
"14890",48," Private"," Some-college"," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",30," <=50K"
"28519",38," Private"," HS-grad"," Married-civ-spouse"," Machine-op-inspct"," Wife"," White"," Female",40," <=50K"
"8623",21," Private"," Some-college"," Never-married"," Sales"," Own-child"," White"," Female",20," <=50K"
"28585",32," Private"," HS-grad"," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",50," <=50K"
"3649",26," Federal-gov"," Bachelors"," Never-married"," Exec-managerial"," Not-in-family"," White"," Female",40," <=50K"
"11561",19," Self-emp-not-inc"," Some-college"," Never-married"," Craft-repair"," Not-in-family"," White"," Female",15," <=50K"
"3472",31," Private"," HS-grad"," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",50," <=50K"
"6956",27," Private"," Some-college"," Never-married"," Tech-support"," Not-in-family"," White"," Female",30," <=50K"
"24614",47," Local-gov"," Some-college"," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",50," <=50K"
"24152",29," Private"," HS-grad"," Married-spouse-absent"," Adm-clerical"," Own-child"," White"," Female",40," <=50K"
"4199",26," Private"," HS-grad"," Married-civ-spouse"," Machine-op-inspct"," Wife"," White"," Female",56," <=50K"
"18564",19," Private"," Some-college"," Never-married"," Machine-op-inspct"," Own-child"," White"," Male",20," <=50K"
"18647",48," Private"," 5th-6th"," Divorced"," Machine-op-inspct"," Unmarried"," Other"," Female",40," <=50K"
